IP(192.168.31.101):192.168.31.101
Trial(T) o PreTraining(P):T
Nombre Sujeto:Angel        
Radio:20
Cantidad de Banderas:360
Separacion:1
Color Bandera (rojo/amarillo/verde):rojo,rojo,rojo,rojo,rojo,amarillo
Escenario(1-11,null):0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nro Protocolo:2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Angulos:20,20,1
Test Memoria (1Si/2No/3Solo Evaluar):3,1,2,1,1,1,1,1,1,1,1,1
Lateralidad(I/D/M):D,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Pares(S/N):N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bandera:-1
bandera:-1
Sujeto;Angel        
Radio;20
Hora Inicio;29/12/2020 11:38:58 a.m.
NroIteracion;0
Angulo;20
A Seleccionar;D
Protocolo;2
AparecenDeAPares;N
IdIzquierda;180
IzquierdaX;-20
IzquierdaY;2,449213E-15
IdDerecha;200
DerechaX;-18,79385
DerechaY;-6,840403

IdCorrecta;200
CorrectaX;-18,79385
CorrectaY;-6,840403

Hora Fin Seleccion;29/12/2020 11:39:42 a.m.
Bandera Seleccionada [id];313
Bandera Seleccionada [X];13,63997
Bandera Seleccionada [Y];-14,62707
NroIteracion;1
Angulo;20
A Seleccionar;M
Protocolo;2
AparecenDeAPares;N
IdIzquierda;318
IzquierdaX;14,8629
IzquierdaY;-13,38261
IdDerecha;338
DerechaX;18,54368
DerechaY;-7,492132

IdCorrecta;328
CorrectaX;16,96096
CorrectaY;-10,59838

Captura Bandera;318
Hora;29/12/2020 11:40:07 a.m.
Hora Centro;29/12/2020 11:40:21 a.m.
Captura Bandera;338
Hora;29/12/2020 11:40:41 a.m.
Inicio test memoria;29/12/2020 11:40:54 a.m.
Hora Fin Seleccion;29/12/2020 11:41:12 a.m.
Bandera Seleccionada [id];323
Bandera Seleccionada [X];15,97271
Bandera Seleccionada [Y];-12,0363
