IP(192.168.31.101):192.168.31.101
Trial(T) o PreTraining(P):T
Nombre Sujeto:Cecilia        
Radio:20
Cantidad de Banderas:360
Separacion:1
Color Bandera (rojo/amarillo/verde):rojo,rojo,rojo,rojo,amarillo,amarillo
Escenario(1-11,null):0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nro Protocolo:2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Angulos:60,20,20,20,20,20,1
Test Memoria (1Si/2No/3Solo Evaluar):1,1,2,1,1,1,1,1,1,1,1,1
Lateralidad(I/D/M):D,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Pares(S/N):N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bandera:-1
bandera:-1
Sujeto;Cecilia        
Radio;20
Hora Inicio;28/12/2020 11:30:13 a.m.
NroIteracion;0
Angulo;60
A Seleccionar;D
Protocolo;2
AparecenDeAPares;N
IdIzquierda;305
IzquierdaX;11,47153
IzquierdaY;-16,38304
IdDerecha;5
DerechaX;19,92389
DerechaY;1,743115

IdCorrecta;5
CorrectaX;19,92389
CorrectaY;1,743115

Captura Bandera;305
Hora;28/12/2020 11:30:47 a.m.
Hora Centro;28/12/2020 11:31:09 a.m.
Captura Bandera;5
Hora;28/12/2020 11:31:39 a.m.
Inicio test memoria;28/12/2020 11:31:59 a.m.
Hora Fin Seleccion;28/12/2020 11:33:24 a.m.
Bandera Seleccionada [id];232
Bandera Seleccionada [X];-12,31323
Bandera Seleccionada [Y];-15,76022
NroIteracion;1
Angulo;20
A Seleccionar;M
Protocolo;2
AparecenDeAPares;N
IdIzquierda;134
IzquierdaX;-13,89317
IzquierdaY;14,3868
IdDerecha;154
DerechaX;-17,97588
DerechaY;8,767423

IdCorrecta;144
CorrectaX;-16,18034
CorrectaY;11,7557

Captura Bandera;134
Hora;28/12/2020 11:33:57 a.m.
Hora Centro;28/12/2020 11:34:11 a.m.
Captura Bandera;154
Hora;28/12/2020 11:34:32 a.m.
Inicio test memoria;28/12/2020 11:34:52 a.m.
Hora Fin Seleccion;28/12/2020 11:35:49 a.m.
Bandera Seleccionada [id];131
Bandera Seleccionada [X];-13,12118
Bandera Seleccionada [Y];15,09419
NroIteracion;2
Angulo;20
A Seleccionar;M
Protocolo;2
AparecenDeAPares;N
IdIzquierda;314
IzquierdaX;13,89317
IzquierdaY;-14,3868
IdDerecha;334
DerechaX;17,97588
DerechaY;-8,767423

IdCorrecta;324
CorrectaX;16,18034
CorrectaY;-11,7557

Captura Bandera;314
Hora;28/12/2020 11:36:13 a.m.
Hora Centro;28/12/2020 11:36:38 a.m.
Captura Bandera;334
Hora;28/12/2020 11:36:55 a.m.
