IP(192.168.31.101):192.168.31.101
Trial(T) o PreTraining(P):T
Nombre Sujeto:federico
Radio:20
Cantidad de Banderas:360
Separacion:1
Color Bandera (rojo/amarillo/verde):rojo,rojo,rojo,amarillo,amarillo,amarillo,amarillo
Escenario(1-11,null):0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nro Protocolo:2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Angulos:60,20,20,1
Test Memoria (1Si/2No/3Solo Evaluar):3,2,2,1,1,1,1,1,1,1,1,1,1,1,1
Lateralidad(I/D/M):D,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Pares(S/N):N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bandera:-1
bandera:-1
Sujeto;federico
Radio;20
Hora Inicio;22/12/2020 11:43:39 a.m.
NroIteracion;0
Angulo;60
A Seleccionar;D
Protocolo;2
AparecenDeAPares;N
IdIzquierda;49
IzquierdaX;13,12118
IzquierdaY;15,09419
IdDerecha;109
DerechaX;-6,511364
DerechaY;18,91037

IdCorrecta;109
CorrectaX;-6,511364
CorrectaY;18,91037

Hora Fin Seleccion;22/12/2020 11:44:56 a.m.
Bandera Seleccionada [id];174
Bandera Seleccionada [X];-19,89044
Bandera Seleccionada [Y];2,090569
NroIteracion;1
Angulo;20
A Seleccionar;M
Protocolo;2
AparecenDeAPares;N
IdIzquierda;268
IzquierdaX;-0,6979899
IzquierdaY;-19,98782
IdDerecha;288
DerechaX;6,18034
DerechaY;-19,02113

IdCorrecta;278
CorrectaX;2,783462
CorrectaY;-19,80536

Captura Bandera;268
Hora;22/12/2020 11:48:27 a.m.
Hora Centro;22/12/2020 11:48:42 a.m.
Captura Bandera;288
Hora;22/12/2020 11:48:57 a.m.
