IP(192.168.31.101):192.168.31.101
Trial(T) o PreTraining(P):T
Nombre Sujeto:victoria
Radio:20
Cantidad de Banderas:360
Separacion:1
Color Bandera (rojo/amarillo/verde):rojo,rojo,rojo,rojo,amarillo,amarillo,amarillo
Escenario(1-11,null):0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nro Protocolo:2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Angulos:20,20,20,1
Test Memoria (1Si/2No/3Solo Evaluar):3,2,2,1,1,1,1,1,1,1,1,1
Lateralidad(I/D/M):D,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Pares(S/N):N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
bandera:-1
bandera:-1
Sujeto;victoria
Radio;20
Hora Inicio;22/12/2020 12:59:04 p.m.
NroIteracion;0
Angulo;20
A Seleccionar;D
Protocolo;2
AparecenDeAPares;N
IdIzquierda;245
IzquierdaX;-8,452366
IzquierdaY;-18,12616
IdDerecha;265
DerechaX;-1,743115
DerechaY;-19,92389

IdCorrecta;265
CorrectaX;-1,743115
CorrectaY;-19,92389

Hora Fin Seleccion;22/12/2020 01:00:52 p.m.
Bandera Seleccionada [id];307
Bandera Seleccionada [X];12,0363
Bandera Seleccionada [Y];-15,97271
NroIteracion;1
Angulo;20
A Seleccionar;M
Protocolo;2
AparecenDeAPares;N
IdIzquierda;298
IzquierdaX;9,389431
IzquierdaY;-17,65895
IdDerecha;318
DerechaX;14,8629
DerechaY;-13,38261

IdCorrecta;308
CorrectaX;12,31323
CorrectaY;-15,76022

Captura Bandera;298
Hora;22/12/2020 01:02:27 p.m.
Hora Centro;22/12/2020 01:02:44 p.m.
Captura Bandera;318
Hora;22/12/2020 01:03:05 p.m.
