IP(192.168.31.101):192.168.31.101
Trial(T) o PreTraining(P):T
Nombre Sujeto:axel
Radio:20
Cantidad de Banderas:360
Separacion:1
Color Bandera (rojo/amarillo/verde):rojo,rojo,rojo
Escenario(1-11,null):0,0,0
Nro Protocolo:2,2,2
Angulos:40,20,20,1
Test Memoria (1Si/2No/3Solo Evaluar):1,1,1
Lateralidad(I/D/M):D,M,M
Pares(S/N):N,N,N
Sujeto;axel
Radio;20
Hora Inicio;14/03/2018 10:28:12 a.m.
NroIteracion;0
Angulo;40
A Seleccionar;D
Protocolo;2
AparecenDeAPares;N
IdIzquierda;83
IzquierdaX;2,437387
IzquierdaY;19,85092
IdDerecha;123
DerechaX;-10,89278
DerechaY;16,77341

IdCorrecta;123
CorrectaX;-10,89278
CorrectaY;16,77341

Captura Bandera;83
Hora;14/03/2018 10:28:36 a.m.
Hora Centro;14/03/2018 10:28:50 a.m.
Captura Bandera;123
Hora;14/03/2018 10:29:09 a.m.
Inicio test memoria;14/03/2018 10:29:22 a.m.
Hora Fin Seleccion;14/03/2018 10:29:52 a.m.
Bandera Seleccionada [id];117
Bandera Seleccionada [X];-9,07981
Bandera Seleccionada [Y];17,82013
NroIteracion;1
Angulo;20
A Seleccionar;M
Protocolo;2
AparecenDeAPares;N
IdIzquierda;353
IzquierdaX;19,85092
IzquierdaY;-2,437387
IdDerecha;13
DerechaX;19,4874
DerechaY;4,499021

IdCorrecta;3
CorrectaX;19,97259
CorrectaY;1,046719

Captura Bandera;353
Hora;14/03/2018 10:30:15 a.m.
Hora Centro;14/03/2018 10:30:29 a.m.
Captura Bandera;13
Hora;14/03/2018 10:30:44 a.m.
Inicio test memoria;14/03/2018 10:30:58 a.m.
Hora Fin Seleccion;14/03/2018 10:31:12 a.m.
Bandera Seleccionada [id];8
Bandera Seleccionada [X];19,80536
Bandera Seleccionada [Y];2,783462
NroIteracion;2
Angulo;20
A Seleccionar;M
Protocolo;2
AparecenDeAPares;N
IdIzquierda;86
IzquierdaX;1,395129
IzquierdaY;19,95128
IdDerecha;106
DerechaX;-5,512747
DerechaY;19,22523

IdCorrecta;96
CorrectaX;-2,090569
CorrectaY;19,89044

Captura Bandera;86
Hora;14/03/2018 10:31:30 a.m.
Hora Centro;14/03/2018 10:31:44 a.m.
Captura Bandera;106
Hora;14/03/2018 10:31:59 a.m.
Inicio test memoria;14/03/2018 10:32:12 a.m.
Hora Fin Seleccion;14/03/2018 10:32:43 a.m.
Bandera Seleccionada [id];118
Bandera Seleccionada [X];-9,389431
Bandera Seleccionada [Y];17,65895
