IP(192.168.31.101):192.168.31.101
Trial(T) o PreTraining(P):P
Nombre Sujeto:jimena
Radio:20
Cantidad de Banderas:360
Separacion:1
Color Bandera (rojo/amarillo/verde):amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo
Escenario(1-11,null):0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nro Protocolo:2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Angulos:60,20,40,1,20,40,1,20,40,1,20,40,1,20,40,1,1,20,40,1
Test Memoria (1Si/2No/3Solo Evaluar):1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lateralidad(I/D/M):M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Pares(S/N):N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sujeto;jimena
Radio;20
Hora Inicio;14/03/2018 09:36:27 a.m.
NroIteracion;0
Protocolo;2
IdBandera;315
IdBanderaX;14,14214
IdBanderaY;-14,14214

IdCorrecta;315
CorrectaX;14,14214
CorrectaY;-14,14214

Captura Bandera;315
Hora;14/03/2018 09:38:34 a.m.
Inicio test memoria;14/03/2018 09:38:58 a.m.
Hora Fin Seleccion;14/03/2018 09:40:19 a.m.
Bandera Seleccionada [id];25
Bandera Seleccionada [X];18,12616
Bandera Seleccionada [Y];8,452366
CruzX;3
CruzY;3
NroIteracion;1
Protocolo;2
IdBandera;226
IdBanderaX;-13,89317
IdBanderaY;-14,3868

IdCorrecta;226
CorrectaX;-13,89317
CorrectaY;-14,3868

Captura Bandera;226
Hora;14/03/2018 09:40:59 a.m.
Inicio test memoria;14/03/2018 09:41:20 a.m.
Hora Fin Seleccion;14/03/2018 09:42:53 a.m.
Bandera Seleccionada [id];227
Bandera Seleccionada [X];-13,63997
Bandera Seleccionada [Y];-14,62707
CruzX;-13
CruzY;-13
NroIteracion;2
Protocolo;2
IdBandera;117
IdBanderaX;-9,07981
IdBanderaY;17,82013

IdCorrecta;117
CorrectaX;-9,07981
CorrectaY;17,82013

Captura Bandera;117
Hora;14/03/2018 09:43:54 a.m.
Inicio test memoria;14/03/2018 09:44:29 a.m.
Hora Fin Seleccion;14/03/2018 09:45:35 a.m.
Bandera Seleccionada [id];142
Bandera Seleccionada [X];-15,76022
Bandera Seleccionada [Y];12,31323
CruzX;-10
CruzY;-10
NroIteracion;3
Protocolo;2
IdBandera;203
IdBanderaX;-18,4101
IdBanderaY;-7,814622

IdCorrecta;203
CorrectaX;-18,4101
CorrectaY;-7,814622

Captura Bandera;203
Hora;14/03/2018 09:46:00 a.m.
Inicio test memoria;14/03/2018 09:46:17 a.m.
Hora Fin Seleccion;14/03/2018 09:47:51 a.m.
Bandera Seleccionada [id];200
Bandera Seleccionada [X];-18,79385
Bandera Seleccionada [Y];-6,840403
CruzX;-6
CruzY;-6
NroIteracion;4
Protocolo;2
IdBandera;75
IdBanderaX;5,176381
IdBanderaY;19,31852

IdCorrecta;75
CorrectaX;5,176381
CorrectaY;19,31852

Captura Bandera;75
Hora;14/03/2018 09:48:31 a.m.
Inicio test memoria;14/03/2018 09:48:53 a.m.
Hora Fin Seleccion;14/03/2018 09:49:32 a.m.
Bandera Seleccionada [id];71
Bandera Seleccionada [X];6,511364
Bandera Seleccionada [Y];18,91037
CruzX;-2
CruzY;-2
NroIteracion;5
Protocolo;2
IdBandera;8
IdBanderaX;19,80536
IdBanderaY;2,783462

IdCorrecta;8
CorrectaX;19,80536
CorrectaY;2,783462

Captura Bandera;8
Hora;14/03/2018 09:50:05 a.m.
Inicio test memoria;14/03/2018 09:50:31 a.m.
Hora Fin Seleccion;14/03/2018 09:50:57 a.m.
Bandera Seleccionada [id];1
Bandera Seleccionada [X];19,99695
Bandera Seleccionada [Y];0,3490481
