IP(192.168.31.101):192.168.31.101
Trial(T) o PreTraining(P):T
Nombre Sujeto:juan
Radio:20
Cantidad de Banderas:360
Separacion:1
Color Bandera (rojo/amarillo/verde):rojo,rojo,rojo
Escenario(1-11,null):0,0,0
Nro Protocolo:2,2,2
Angulos:20,20,1
Test Memoria (1Si/2No/3Solo Evaluar):1,1,1
Lateralidad(I/D/M):M,M
Pares(S/N):N,N,N
Sujeto;juan
Radio;20
Hora Inicio;14/03/2018 05:01:23 p.m.
NroIteracion;0
Angulo;20
A Seleccionar;M
Protocolo;2
AparecenDeAPares;N
IdIzquierda;31
IzquierdaX;17,14335
IzquierdaY;10,30076
IdDerecha;51
DerechaX;12,58641
DerechaY;15,54292

IdCorrecta;41
CorrectaX;15,09419
CorrectaY;13,12118

Captura Bandera;31
Hora;14/03/2018 05:01:49 p.m.
Hora Centro;14/03/2018 05:02:05 p.m.
Captura Bandera;51
Hora;14/03/2018 05:02:16 p.m.
Inicio test memoria;14/03/2018 05:02:45 p.m.
Hora Fin Seleccion;14/03/2018 05:03:11 p.m.
Bandera Seleccionada [id];38
Bandera Seleccionada [X];15,76022
Bandera Seleccionada [Y];12,31323
NroIteracion;1
Angulo;20
A Seleccionar;M
Protocolo;2
AparecenDeAPares;N
IdIzquierda;26
IzquierdaX;17,97588
IzquierdaY;8,767423
IdDerecha;46
DerechaX;13,89317
DerechaY;14,3868

IdCorrecta;36
CorrectaX;16,18034
CorrectaY;11,7557

Captura Bandera;26
Hora;14/03/2018 05:03:38 p.m.
Hora Centro;14/03/2018 05:03:54 p.m.
Captura Bandera;46
Hora;14/03/2018 05:04:06 p.m.
Inicio test memoria;14/03/2018 05:04:22 p.m.
Hora Fin Seleccion;14/03/2018 05:04:53 p.m.
Bandera Seleccionada [id];38
Bandera Seleccionada [X];15,76022
Bandera Seleccionada [Y];12,31323
