IP(192.168.31.101):192.168.31.101
Trial(T) o PreTraining(P):P
Nombre Sujeto:maite
Radio:20
Cantidad de Banderas:360
Separacion:1
Color Bandera (rojo/amarillo/verde):amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo,amarillo
Escenario(1-11,null):0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nro Protocolo:2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Angulos:60,20,40,1,20,40,1,20,40,1,20,40,1,20,40,1,1,20,40,1
Test Memoria (1Si/2No/3Solo Evaluar):1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lateralidad(I/D/M):M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Pares(S/N):N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sujeto;maite
Radio;20
Hora Inicio;14/03/2018 02:01:44 p.m.
NroIteracion;0
Protocolo;2
IdBandera;108
IdBanderaX;-6,18034
IdBanderaY;19,02113

IdCorrecta;108
CorrectaX;-6,18034
CorrectaY;19,02113

Captura Bandera;108
Hora;14/03/2018 02:02:24 p.m.
Inicio test memoria;14/03/2018 02:02:38 p.m.
Hora Fin Seleccion;14/03/2018 02:03:14 p.m.
Bandera Seleccionada [id];107
Bandera Seleccionada [X];-5,847434
Bandera Seleccionada [Y];19,12609
CruzX;-6
CruzY;-6
NroIteracion;1
Protocolo;2
IdBandera;108
IdBanderaX;-6,18034
IdBanderaY;19,02113

IdCorrecta;108
CorrectaX;-6,18034
CorrectaY;19,02113

Captura Bandera;108
Hora;14/03/2018 02:03:59 p.m.
Inicio test memoria;14/03/2018 02:04:20 p.m.
Hora Fin Seleccion;14/03/2018 02:05:04 p.m.
Bandera Seleccionada [id];109
Bandera Seleccionada [X];-6,511364
Bandera Seleccionada [Y];18,91037
CruzX;-7
CruzY;-7
NroIteracion;2
Protocolo;2
IdBandera;339
IdBanderaX;18,67161
IdBanderaY;-7,167359

IdCorrecta;339
CorrectaX;18,67161
CorrectaY;-7,167359

Captura Bandera;339
Hora;14/03/2018 02:06:10 p.m.
Inicio test memoria;14/03/2018 02:06:26 p.m.
Hora Fin Seleccion;14/03/2018 02:07:35 p.m.
Bandera Seleccionada [id];341
Bandera Seleccionada [X];18,91037
Bandera Seleccionada [Y];-6,511364
